,stormNumber,initial_phase,main_phase,minimumSymH,end_recovery_phase,min_SYM_H,ifCME,ifHSS,ifcomplex,Unnamed: 9,new_begining_times,new_ending_times
33,6,1996-09-12 03:34:00,1996-09-12 06:57:00,1996-09-12 08:49:00,1996-09-13 09:42:00,-52,ICME,,,,1996-09-12 03:34:00,1996-09-13 09:42:00
34,7,1996-09-21 19:54:00,1996-09-22 12:10:00,1996-09-23 07:20:00,1996-09-25 19:49:00,-55,,HSS,,,1996-09-21 23:10:00,1996-09-25 19:49:00
35,8,1996-10-22 15:54:00,1996-10-22 21:58:00,1996-10-23 03:33:00,1996-10-26 22:56:00,-123,ICME,,,,1996-10-22 15:54:00,1996-10-26 03:33:00
36,0,1997-01-09 23:56:00,1997-01-10 03:44:00,1997-01-10 09:21:00,1997-01-10 23:00:00,-85,ICME,,,,1997-01-09 23:56:00,1997-01-10 23:00:00
37,1,1997-02-07 23:36:00,1997-02-08 12:46:00,1997-02-09 20:44:00,1997-02-11 05:06:00,-67,,HSS,complex,,1997-02-07 23:46:00,1997-02-11 05:06:00
38,2,1997-02-26 06:18:00,1997-02-27 00:56:00,1997-02-28 04:51:00,1997-03-05 13:59:00,-84,,HSS,,,1997-02-26 11:56:00,1997-03-03 04:51:00
39,3,1997-03-28 05:23:00,1997-03-28 10:25:00,1997-03-28 23:54:00,1997-03-31 11:46:00,-63,ICME,,,,1997-03-28 05:23:00,1997-03-31 11:46:00
40,4,1997-04-10 13:19:00,1997-04-10 22:37:00,1997-04-11 04:42:00,1997-04-11 14:33:00,-91,ICME,,,,1997-04-10 13:19:00,1997-04-11 14:33:00
41,5,1997-04-16 05:22:00,1997-04-16 17:32:00,1997-04-16 23:29:00,1997-04-20 10:47:00,-51,,HSS,,,1997-04-16 05:22:00,1997-04-19 23:29:00
42,6,1997-04-20 18:05:00,1997-04-21 10:08:00,1997-04-21 23:32:00,1997-04-23 05:48:00,-100,ICME,,,,1997-04-20 21:08:00,1997-04-23 05:48:00
43,7,1997-05-01 09:48:00,1997-05-01 15:16:00,1997-05-02 00:12:00,1997-05-07 13:03:00,-80,,HSS,,,1997-05-01 09:48:00,1997-05-05 00:12:00
44,8,1997-05-14 22:31:00,1997-05-15 06:33:00,1997-05-15 11:47:00,1997-05-18 17:55:00,-129,ICME,,,,1997-05-14 22:31:00,1997-05-18 11:47:00
45,9,1997-05-26 08:27:00,1997-05-26 14:19:00,1997-05-27 05:02:00,1997-05-30 00:07:00,-85,ICME,,,,1997-05-26 08:27:00,1997-05-30 00:07:00
46,10,1997-06-08 10:50:00,1997-06-08 17:19:00,1997-06-09 05:20:00,1997-06-11 10:24:00,-89,ICME,,,,1997-06-08 10:50:00,1997-06-11 10:24:00
47,11,1997-08-12 11:19:00,1997-08-12 18:24:00,1997-08-14 06:50:00,1997-08-16 17:20:00,-59,ICME,HSS ,complex,,1997-08-12 11:19:00,1997-08-16 17:20:00
48,12,1997-08-27 16:37:00,1997-08-28 02:54:00,1997-08-28 05:03:00,1997-08-31 23:03:00,-54,ICME,,,,1997-08-27 16:37:00,1997-08-31 05:03:00
49,13,1997-09-02 22:51:00,1997-09-03 17:27:00,1997-09-03 22:30:00,1997-09-06 13:30:00,-99,ICME,HSS,,,1997-09-03 04:27:00,1997-09-06 13:30:00
50,14,1997-09-08 06:28:00,1997-09-08 14:08:00,1997-09-10 22:35:00,1997-09-13 16:19:00,-54,,HSS,,,1997-09-08 06:28:00,1997-09-13 16:19:00
51,15,1997-09-17 07:22:00,1997-09-17 13:35:00,1997-09-18 04:25:00,1997-09-21 21:32:00,-70,ICME,HSS,complex,,1997-09-17 07:22:00,1997-09-21 04:25:00
52,16,1997-09-30 23:42:00,1997-10-01 03:05:00,1997-10-01 15:59:00,1997-10-03 05:47:00,-100,ICME,,,,1997-09-30 23:42:00,1997-10-03 05:47:00
53,17,1997-10-10 07:15:00,1997-10-10 17:24:00,1997-10-11 02:54:00,1997-10-15 09:51:00,-139,ICME,,,,1997-10-10 07:15:00,1997-10-14 02:54:00
54,18,1997-10-23 02:49:00,1997-10-23 20:31:00,1997-10-25 02:41:00,1997-10-31 23:19:00,-67,ICME,HSS,complex,,1997-10-23 07:31:00,1997-10-28 02:41:00
55,19,1997-11-06 22:15:00,1997-11-06 23:51:00,1997-11-07 03:46:00,1997-11-09 10:48:00,-125,ICME,,,,1997-11-06 22:15:00,1997-11-09 10:48:00
56,20,1997-11-22 03:34:00,1997-11-22 11:41:00,1997-11-23 02:45:00,1997-11-28 05:23:00,-121,ICME,,,,1997-11-22 03:34:00,1997-11-26 02:45:00
